sku,title,price,currency,availability,url,image link,brand,gtin,mpn,margin,material,colour,size,use_case
NFA-AM10-WAL,Northfield AM10 Bookshelf Speaker Pair Walnut,749.00,GBP,instock,https://northfieldaudio.example/products/am10-walnut,https://cdn.northfieldaudio.example/am10-walnut.jpg,Northfield Audio,5060123456781,AM10-WAL,38,Walnut veneer,Walnut,Pair,Small room listening
NFA-AM10-BLK,Northfield AM10 Bookshelf Speaker Pair Black,729.00,GBP,instock,https://northfieldaudio.example/products/am10-black,https://cdn.northfieldaudio.example/am10-black.jpg,Northfield Audio,5060123456798,AM10-BLK,38,Satin MDF,Black,Pair,Small room listening
NFA-SUB8,Northfield S8 Active Subwoofer,449.00,GBP,instock,https://northfieldaudio.example/products/s8-subwoofer,https://cdn.northfieldaudio.example/s8-sub.jpg,Northfield Audio,5060123456804,S8-SUB,34,Sealed MDF cabinet,Black,8 inch,Home cinema
NFA-INT200,Northfield Integra 200 Amplifier,1199.00,GBP,instock,https://northfieldaudio.example/products/integra-200,https://cdn.northfieldaudio.example/integra200.jpg,Northfield Audio,5060123456811,INT-200,31,Brushed aluminium,Silver,Full width,Two channel hifi
NFA-INT100,Northfield Integra 100 Amplifier,799.00,GBP,instock,https://northfieldaudio.example/products/integra-100,https://cdn.northfieldaudio.example/integra100.jpg,Northfield Audio,5060123456828,INT-100,31,Brushed aluminium,Black,Full width,Two channel hifi
NFA-DAC2,Northfield Bridge DAC 2,529.00,GBP,instock,https://northfieldaudio.example/products/bridge-dac-2,https://cdn.northfieldaudio.example/bridgedac2.jpg,Northfield Audio,5060123456835,BRG-DAC2,36,Aluminium,Black,Half width,Desktop listening
NFA-TT1,Northfield Groove One Turntable,649.00,GBP,instock,https://northfieldaudio.example/products/groove-one,https://cdn.northfieldaudio.example/grooveone.jpg,Northfield Audio,5060123456842,TT-GR1,29,Acrylic plinth,Black,Standard,Vinyl playback
NFA-PH1,Northfield Phono One Preamp,229.00,GBP,instock,https://northfieldaudio.example/products/phono-one,https://cdn.northfieldaudio.example/phonoone.jpg,Northfield Audio,5060123456859,PH-1,42,Steel,Black,Compact,Vinyl playback
NFA-HP400,Northfield Field 400 Headphones,319.00,GBP,instock,https://northfieldaudio.example/products/field-400,https://cdn.northfieldaudio.example/field400.jpg,Northfield Audio,5060123456866,HP-400,44,Magnesium and leather,Graphite,Over ear,Portable listening
NFA-HP200,Northfield Field 200 Headphones,189.00,GBP,instock,https://northfieldaudio.example/products/field-200,https://cdn.northfieldaudio.example/field200.jpg,Northfield Audio,5060123456873,HP-200,44,Polycarbonate,Black,On ear,Commuting
NFA-STR1,Northfield Current Streamer,899.00,GBP,instock,https://northfieldaudio.example/products/current-streamer,https://cdn.northfieldaudio.example/current.jpg,Northfield Audio,5060123456880,STR-1,33,Aluminium,Silver,Full width,Network streaming
NFA-CD1,Northfield Disc One CD Player,579.00,GBP,onbackorder,https://northfieldaudio.example/products/disc-one,https://cdn.northfieldaudio.example/discone.jpg,Northfield Audio,5060123456897,CD-1,27,Aluminium,Black,Full width,Disc playback
NFA-ST24,Northfield Stand 24 Speaker Stands Pair,199.00,GBP,instock,https://northfieldaudio.example/products/stand-24,https://cdn.northfieldaudio.example/stand24.jpg,Northfield Audio,5060123456903,ST-24,48,Powder coated steel,Black,24 inch,Speaker support
NFA-CBL3,Northfield Signal 3 Speaker Cable 3m Pair,89.00,GBP,instock,https://northfieldaudio.example/products/signal-3,https://cdn.northfieldaudio.example/signal3.jpg,Northfield Audio,5060123456910,CBL-3,55,Oxygen free copper,Black,3 metre,Speaker wiring
NFA-AM20-WAL,Northfield AM20 Floorstanding Speaker Pair Walnut,1899.00,GBP,instock,https://northfieldaudio.example/products/am20-walnut,https://cdn.northfieldaudio.example/am20-walnut.jpg,Northfield Audio,5060123456927,AM20-WAL,36,Walnut veneer,Walnut,Pair,Large room listening
NFA-AM20-BLK,Northfield AM20 Floorstanding Speaker Pair Black,1849.00,GBP,instock,https://northfieldaudio.example/products/am20-black,https://cdn.northfieldaudio.example/am20-black.jpg,Northfield Audio,5060123456934,AM20-BLK,36,Satin MDF,Black,Pair,Large room listening
NFA-AM05,Northfield AM05 Compact Speaker Pair,449.00,GBP,instock,https://northfieldaudio.example/products/am05,https://cdn.northfieldaudio.example/am05.jpg,Northfield Audio,5060123456941,AM05,39,Satin MDF,White,Pair,Desktop listening
NFA-HUB1,Northfield Hub One Network Switch,349.00,GBP,instock,https://northfieldaudio.example/products/hub-one,https://cdn.northfieldaudio.example/hubone.jpg,Northfield Audio,5060123456958,HUB-1,41,Aluminium,Black,Compact,Network streaming
NFA-TT2,Northfield Groove Two Turntable,1249.00,GBP,discontinued,https://northfieldaudio.example/products/groove-two,https://cdn.northfieldaudio.example/groovetwo.jpg,Northfield Audio,5060123456965,TT-GR2,28,Aluminium plinth,Silver,Standard,Vinyl playback
NFA-REM1,Northfield Remote One,79.00,GBP,instock,https://northfieldaudio.example/products/remote-one,https://cdn.northfieldaudio.example/remoteone.jpg,Northfield Audio,5060123456972,REM-1,52,Aluminium,Black,Handheld,System control
